Fecha,kilosnetos,Valortotal,Precio Unitario FOB (USD) Peso Neto,Desvest
2020-12-07,401.25,2992.08,7.45689719626168,0.0
2020-12-08,2341.233333333333,10567.300000000001,7.096378029984599,3.7399374888242805
2020-12-09,2341.233333333333,10567.300000000001,7.096378029984599,3.7399374888242805
2020-12-10,2606.8571428571427,12518.184285714286,6.197515704139518,2.8151889069853
2020-12-11,10685.0,45354.23,6.784535423225765,4.0506257096650735
2020-12-14,25320.0,65791.66666666667,2.515416666666667,0.14867294923197477
2020-12-15,25320.0,65791.66666666667,2.515416666666667,0.14867294923197477
2020-12-16,8000.0,54400.64,6.80008,0.0
2020-12-17,25189.0,67210.34,2.66824169280241,0.0
2020-12-18,8000.0,50881.6,6.3602,0.0
2020-12-21,54224.53333333333,267060.43,7.7003009389495345,4.622933298836983
2020-12-22,25000.0,67875.0,2.715,0.0
2020-12-23,743.4,4281.05,5.694979341324251,0.16692494295467689
2020-12-24,7000.0,27625.33,3.94647571428571,0.0
2020-12-25,10100.0,36535.215,5.2185749999999995,2.3102239201536285
2020-12-28,10100.0,36535.215,5.2185749999999995,2.3102239201536285
2020-12-29,13614.5,39028.9,3.088431056975555,0.3669144997702802
2020-12-30,9590.0,39644.4975,4.434852978230808,0.4245032210579598
2020-12-31,9590.0,39644.4975,4.434852978230808,0.4245032210579598
2021-01-01,9590.0,39644.4975,4.434852978230808,0.4245032210579598
2021-01-04,9590.0,39644.4975,4.434852978230808,0.4245032210579598
2021-01-05,25045.25,68415.5,2.7313665362773527,0.1276271934493988
2021-01-06,50040.0,132430.86,2.6464999999999996,0.03464823227814062
2021-01-07,50040.0,132430.86,2.6464999999999996,0.03464823227814062
2021-01-08,25201.0,71268.0,2.82798301654696,0.0
2021-01-11,25201.0,71268.0,2.82798301654696,0.0
2021-01-12,25201.0,71268.0,2.82798301654696,0.0
2021-01-13,25201.0,71268.0,2.82798301654696,0.0
2021-01-14,203.0,2635.26,12.9815763546798,0.0
2021-01-15,203.0,2635.26,12.9815763546798,0.0
2021-01-18,203.0,2635.26,12.9815763546798,0.0
2021-01-19,5540.0,17863.0,5.524673691049788,3.5086963226930648
2021-01-20,5540.0,17863.0,5.524673691049788,3.5086963226930648
2021-01-21,5540.0,17863.0,5.524673691049788,3.5086963226930648
2021-01-22,140000.0,676200.0,4.83,0.0
2021-01-25,140000.0,676200.0,4.83,0.0
2021-01-26,625.0,2298.19,3.677104,0.0
2021-01-27,1797.3,18732.5,10.4225783119123,0.0
2021-01-28,958.3333333333334,4688.0,5.4438596491228,5.695372309454888
2021-01-29,37741.5,114926.5,3.030916396767565,0.06023661834826597
2021-02-01,37741.5,114926.5,3.030916396767565,0.06023661834826597
2021-02-02,3791.25,17008.69,5.115977594278827,2.027724096692836
2021-02-03,3791.25,17008.69,5.115977594278827,2.027724096692836
2021-02-04,7200.0,31414.4,5.327764065934071,1.6935210517579495
2021-02-05,321.0,3347.17,10.4273208722741,0.0
2021-02-08,321.0,3347.17,10.4273208722741,0.0
2021-02-09,98.28,1445.64,14.7094017094017,0.0
2021-02-10,180.0,382.5,2.213541666666665,0.1841423909339993
2021-02-11,8697.75,37726.86,3.5574748794253077,1.5650490702353648
2021-02-12,8697.75,37726.86,3.5574748794253077,1.5650490702353648
2021-02-15,17950.0,49911.54,4.18275283018868,2.5699755937312916
2021-02-16,7364.45,32928.0,4.47120966263604,0.0
2021-02-17,200.0,3029.7650000000003,15.148825,4.284819606617064
2021-02-18,200.0,3029.7650000000003,15.148825,4.284819606617064
2021-02-19,25000.0,62875.0,2.515,0.0
2021-02-22,16974.350000000002,50991.73333333334,4.3640910439775,1.6153187495888028
2021-02-23,16974.350000000002,50991.73333333334,4.3640910439775,1.6153187495888028
2021-02-24,10650.90909090909,29121.769090909092,4.9797878787878815,3.032389051823035
2021-02-25,37520.0,96439.45999999999,2.5564999999999998,0.058689862838483105
2021-02-26,225.0,846.0,3.76,0.0
2021-03-01,225.0,846.0,3.76,0.0
2021-03-02,225.0,846.0,3.76,0.0
2021-03-03,276.64,3161.6,11.4285714285714,0.0
2021-03-04,276.64,3161.6,11.4285714285714,0.0
2021-03-05,25167.0,77548.5,3.081386823119275,0.08982347304325847
2021-03-08,25167.0,77548.5,3.081386823119275,0.08982347304325847
2021-03-09,511.2,4457.6,8.71987480438185,0.0
2021-03-10,511.2,4457.6,8.71987480438185,0.0
2021-03-11,20000.0,86318.09,4.3159045,0.0
2021-03-12,16872.933333333334,43980.65333333333,5.574198882644183,3.5963236061238395
2021-03-15,10213.08,52146.10999999999,9.934344856638067,6.08055905340472
2021-03-16,5899.835,30676.2,5.726562210472824,1.5180702803131263
2021-03-17,800.0,5700.0,7.125,0.0
2021-03-18,1316.5,7961.2,6.04724648689708,0.0
2021-03-19,7488.688888888889,26475.86111111111,4.987044322769681,1.2092756067412929
2021-03-22,19101.986666666668,58004.325000000004,6.551013156412247,5.761694216165488
2021-03-23,19101.986666666668,58004.325000000004,6.551013156412247,5.761694216165488
2021-03-24,4386.666666666667,25790.533333333336,10.056666666666667,6.344780006693167
2021-03-25,400.0,5250.0,13.125,0.0
2021-03-26,197.54,2772.05,12.800301142966951,2.2918704348079317
2021-03-29,22562.616,60689.1,4.244672046889081,3.386217379634595
2021-03-30,951.6,10600.0,11.1391340899538,0.0
2021-03-31,37000.0,156966.8,4.66496,1.0708963572633907
2021-04-01,37000.0,156966.8,4.66496,1.0708963572633907
2021-04-02,37000.0,156966.8,4.66496,1.0708963572633907
2021-04-05,37000.0,156966.8,4.66496,1.0708963572633907
2021-04-06,4780.0,19658.0,3.823168195718653,0.7088401318885833
2021-04-07,3614.0,17156.9,5.784091755760367,1.6817836665438792
2021-04-08,3614.0,17156.9,5.784091755760367,1.6817836665438792
2021-04-09,3614.0,17156.9,5.784091755760367,1.6817836665438792
2021-04-12,25175.0,76757.0,3.04893743793446,0.0
2021-04-13,100.0,246.23,2.4623,0.0
2021-04-14,100.0,246.23,2.4623,0.0
2021-04-15,100.0,246.23,2.4623,0.0
2021-04-16,100.0,246.23,2.4623,0.0
2021-04-19,100.0,246.23,2.4623,0.0
2021-04-20,972.5,3652.0,4.523561643835615,1.2394710098716548
2021-04-21,972.5,3652.0,4.523561643835615,1.2394710098716548
2021-04-22,972.5,3652.0,4.523561643835615,1.2394710098716548
2021-04-23,31290.0,78307.2925,3.161041666666667,1.2741728498868954
2021-04-26,31290.0,78307.2925,3.161041666666667,1.2741728498868954
2021-04-27,25495.0,78954.5,7.33280768569579,6.129002148301502
2021-04-28,12500.0,35227.5,2.8182,0.0
2021-04-29,12500.0,35227.5,2.8182,0.0
2021-04-30,25000.0,73500.0,2.94,0.0
2021-05-03,22980.0,68401.65999999999,4.00930694475922,1.4598134878334388
2021-05-04,37841.5,107926.0,2.8805978537791903,0.12165442973127953
2021-05-05,1084.24,7931.2,12.8563207502374,9.278401685284555
2021-05-06,7500.0,28200.0,3.76,0.0
2021-05-07,4605.925,19372.08625,4.427772431620525,0.8063254240793658
2021-05-10,28073.9,117905.81,4.4886875,0.6078008642845123
2021-05-11,5240.0,31488.0,6.1,0.1414213562373093
2021-05-12,78.1225,282.4,3.90168192918193,0.4172635145720246
2021-05-13,78.1225,282.4,3.90168192918193,0.4172635145720246
2021-05-14,78.1225,282.4,3.90168192918193,0.4172635145720246
2021-05-17,78.1225,282.4,3.90168192918193,0.4172635145720246
2021-05-18,78.1225,282.4,3.90168192918193,0.4172635145720246
2021-05-19,50354.0,145101.0,2.88161814354371,0.0
2021-05-20,100000.0,420000.0,4.2,0.0
2021-05-21,100000.0,420000.0,4.2,0.0
2021-05-24,41686.666666666664,103115.62,2.4735,0.03875241927931721
2021-05-25,234.248,2580.7200000000003,9.7568980559507,5.394868954024749
2021-05-26,468.16,5350.4,11.4285714285714,0.0
2021-05-27,3076.0,20750.0,6.74577373211964,0.0
2021-05-28,25054.0,70587.0,2.8173582965664297,0.008591943682855332
2021-05-31,25054.0,70587.0,2.8173582965664297,0.008591943682855332
2021-06-01,20.0,170.0,8.5,0.0
2021-06-02,758.4000000000001,5982.0,8.056662239929175,0.8823183884327527
2021-06-03,100000.0,410000.0,4.1,0.0
2021-06-04,9000.0,37602.77,4.17808555555556,0.0
2021-06-07,4726.222222222223,25356.274444444443,5.624285380508282,0.9167133656049534
2021-06-08,4726.222222222223,25356.274444444443,5.624285380508282,0.9167133656049534
2021-06-09,129.03199999999998,1318.968,10.407011177239081,1.070396458019718
2021-06-10,4781.25,25959.7775,5.495755334821427,1.2030892608250874
2021-06-11,25135.0,73001.0,2.90435647503481,0.0
2021-06-14,25135.0,73001.0,2.90435647503481,0.0
2021-06-15,25135.0,73001.0,2.90435647503481,0.0
2021-06-16,10250.0,36696.0,3.8628,0.42030427073728405
2021-06-17,10250.0,36696.0,3.8628,0.42030427073728405
2021-06-18,10250.0,36696.0,3.8628,0.42030427073728405
2021-06-21,25212.0,73745.0,2.925014808782155,0.05149467229310705
2021-06-22,25212.0,73745.0,2.925014808782155,0.05149467229310705
2021-06-23,2682.1428571428573,11755.697142857143,5.4525268034875,1.7013195048529817
2021-06-24,12500.0,39375.0,3.15,0.0
2021-06-25,1156.5,9240.0,7.1139604810996495,5.051783867801788
2021-06-28,1156.5,9240.0,7.1139604810996495,5.051783867801788
2021-06-29,1156.5,9240.0,7.1139604810996495,5.051783867801788
2021-06-30,85.5,827.7,8.525,5.480077554195743
2021-07-01,85.5,827.7,8.525,5.480077554195743
2021-07-02,85.5,827.7,8.525,5.480077554195743
2021-07-05,3309.6,12851.316,4.952683733333334,2.255762475063887
2021-07-06,3309.6,12851.316,4.952683733333334,2.255762475063887
2021-07-07,845.0,3802.68,4.50021301775148,0.0
2021-07-08,33518.666666666664,91450.66666666667,2.7359392955550934,0.02708907301536717
2021-07-09,33518.666666666664,91450.66666666667,2.7359392955550934,0.02708907301536717
2021-07-12,33518.666666666664,91450.66666666667,2.7359392955550934,0.02708907301536717
2021-07-13,33518.666666666664,91450.66666666667,2.7359392955550934,0.02708907301536717
